id,title,url,source,source_type,stage,evidence_type,evidence_strength,evidence_maturity,healthcare_relevance,ai_modality,region,country,date,score,topics
876833367a86,MHRA clarifies regulatory status of ambient voice technologies used in the NHS,https://news.google.com/rss/articles/CBMiswFBVV95cUxPc2duLWktcTMwNlhaMmoxTVJwMjZ6REFlR2dvTXE0UHl0WkpNb29XZTVpZUtXLXBiOGR4czlwWF9GcEh0VnRfZURsVmFGRTVrVUtMSHN4TVB6VHlzMkgtZ0J1dDlJSjhVVjcyZURBaUU2LUx4S3IxdUViTXBrYkdhMUhMYXRISzFLSDVDYlpYbkxCekRwdUtBU245aUIwUDlSNUp3UGY5Nm5SbENITXp6SVBtcw?oc=5,MHRA (UK),Regulator,regulation,Regulatory guidance,Policy signal,,Healthcare operations,Generative AI / LLM,Europe,United Kingdom,2026-07-29,6,mhra-updates;regulatory-activity
299e8ddc60bc,AI use in health system must be deemed safe - HIQA,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE4zTnE0aXJQcGxjazlaeGFvdUlON2hPVS1WcGdHUnItZElVOUtQUnh3MmV1UEdNc242a2xwWTF4STRJMlRoeWl6RlJyR28zTUQ1bFZ3MFFyVWRGRWh6LXZNcjV0ajdSenM?oc=5,Additional European HTA (BE/IE/PL/ES/Nordics/CH),Other,regulation,Regulatory guidance,Policy signal,,Direct clinical,,Europe,Ireland,2026-07-29,3,regulatory-activity
6034d378cfa1,"Mindset, Not AI: Digital Health’s True Bottleneck",https://news.google.com/rss/articles/CBMijwFBVV95cUxNVHN4ODdhbTAtdDh6RkJjRFlseHlFNld3bkJ5N2lsZEJPVFZKcG5YTFJtMmU1c1BaVGRQSUFvd2UwXzFxODR6VFhWblpOaTFFUU5xSmhFZnF0cF91cGpoalE1dGZEZ2dZODduX1Q2eXJSRzJWVWExdzJNZm5kczJWS0FUSzJKemtKeWpLUWtfcw?oc=5,LATAM — HTA & coverage (CONITEC),HTA / payer,industry,Industry news,Market signal,,Adjacent AI,,,,2026-07-29,1,
9bdb0c40b4e2,"Digital Health Adoption, eHealth Literacy, and Trust in AI Among Generation Z University Students in Sri Lanka: An Empirical Study",https://www.medrxiv.org/content/10.64898/2026.07.22.26358733v1?rss=1,medRxiv — Health Informatics,Preprint / research,clinical,Preprint,Primary evidence,0,Direct clinical,,,,2026-07-28,1,ai-clinical-studies
96c1e3c71dab,"Luminopia Partners With Spin Master, Broadening Content Collection for Pediatric Amblyopia Digital Therapeutic",https://news.google.com/rss/articles/CBMijgJBVV95cUxNRkxTd3d1M0ctWi1NNG1wbzFxc0l3MFV5LTduMy1iMWwyZ2xHckd6TU1BeGJOOEFwbkU1cjF5aWE5Ui11cW1wVlZYNUVRNDRGclFCT3dUb25rUHZUYWFEX09JRllGdFQ2Mi03dW9DZHAtalJMbW1CbXV2X203aWJsRldPV08wNEt0czAtNnNHWHRHR0hoZ1pDX1hNeVdGYk1BU1BYTXcxRU8tNmRQNjJ2U2ZXeU03czlzM2hEYU5QSmpxVWR5UVZnZy1PVnE4ZEltd1EtS1ZoaURkSVlidXVodzlKYmo1cFB6eU1qU2RYa1VIUkR5YkpuSzR3QmtBYjFhaVJ4TmFnR1BGcWd4Unc?oc=5,Digital therapeutics & DiGA,Other,industry,Partnership,Market signal,,Direct clinical,Digital therapeutic,Europe,Germany,2026-07-28,1,diga-updates;digital-therapeutics
3643bdf340a5,"Applications, technical foundations and challenges of digital twins for chronic disease management: A scoping review.",https://pubmed.ncbi.nlm.nih.gov/42534416/,PubMed — digital health value & reimbursement,Journal / evidence,clinical,Systematic review,Secondary evidence,2,Direct clinical,,,,2026-07-28,1,ai-clinical-studies
5c5ed2beb99e,Improving laboratory workforce efficiency using AI-assisted digital cytology within an HPV-based cervical screening programme: A model-based evaluation for the NHS Cervical Screening Programmes.,https://pubmed.ncbi.nlm.nih.gov/42526933/,PubMed — AI × HTA/HEOR,Journal / evidence,heor,HEOR / value,Secondary evidence,2,Direct clinical,Clinical decision support,Europe,United Kingdom,2026-07-28,3,hta-value-evidence
4b0861975af1,Diagnosing Rejection Collapse via Uncertainty Decomposition,https://www.medrxiv.org/content/10.64898/2026.07.24.26358775v1?rss=1,medRxiv — Health Informatics,Preprint / research,clinical,Preprint,Primary evidence,0,Direct clinical,Clinical decision support,,,2026-07-27,1,ai-clinical-studies
b1c36ca85a69,AI and mental health services,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNeG13SS1mVDF0X0tqeFVTcHhVQURBNGxNR2wwSnQ4bW41VTJSNFl2UUxaLTV5ZGQyem1Zb1ZhVjBTbGdoNEl1UzNFenltY0tIWGJaazFBOVJtZ01XeXNGREx4R3I0N3pobVZwT2VudzFsRzFvLWhqM0x3Qk8yN05TRzAzM3p0cG5wQUhr?oc=5,APAC AI device regulation & reimbursement,Other,industry,Industry news,Market signal,,Direct clinical,,,,2026-07-27,1,mental-health-ai
15ec8d8d5ded,Recon: WHO releases first interim list of medical device authorities; AstraZeneca using AI to hedge late-stage risks,https://news.google.com/rss/articles/CBMi4wFBVV95cUxPY0lEMGRHSFY3aU5fM2Z3ZHZHSDUxbnNUbFNmdzdnTnN3OGNRY1Y1NmJQU3hmanQ2TGZmbXA4Z2dJQUpPRnZXUF9OaDlRdTA3MEhuYi02T1J1WTdYb3NQLXV3VE02T0x2TE9LazFra1pvaDlQYzE0alRkTW4wVnJuQll6ZW5oalVJV05GblFQY1c2ekV2T2hNeTBrUnRUWFBnbXhOT3NxN0lHRTVWYkt0d3BuLW5tSWk4YnFqc3pXdHFCS0NWTDFQMl9FTW1uTjRWYWVSOUF1UC1IOXZIbUZFWHkwaw?oc=5,RAPS Regulatory Focus,Other,regulation,Regulatory guidance,Policy signal,,Direct clinical,,Asia-Pacific,South Korea,2026-07-27,3,regulatory-activity
79b98c824c11,DIAGNOS Secures Health Canada Licence for CARA AI-Driven Retinal Imaging System,https://news.google.com/rss/articles/CBMixAFBVV95cUxQSWdOZ2pKLXFzUTR5aldfeUROVEt4S1BnZUhPU1VYR1ZqSDZvWXE4bnFldmR0S3lyelVCbVFWQlpEamVZSDNXSFRxeno5U2ExemtQMGFhdnk4Z0N3cUxJQTJ0V3ZIUHhnNlpqVzQ3djV0RzV5X0NaT01hUEk1X2tqSGFnV19DTFJyM2pFODBzU2lEUHpsdFkwRUhQeF8yZFI0XzQzU3ZOSXY0TFJ4RFgtYlBvcWFLczdEZ2g4RFo0dTQ1b2RN?oc=5,Canada — CADTH & Health Canada,Regulator,regulation,Regulatory authorisation,Policy signal,,Direct clinical,Imaging AI,North America,Canada,2026-07-27,6,regulatory-activity;radiology-imaging-ai
f627e82e8339,Artificial Intelligence and the Financialization of Medical Knowledge.,https://pubmed.ncbi.nlm.nih.gov/42507464/,JAMA Network — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,2026-07-27,1,ai-clinical-studies
cd52b9113469,The iPatient Meets the iDoctor.,https://pubmed.ncbi.nlm.nih.gov/42507375/,JAMA Network — AI in medicine,Journal / evidence,clinical,Commentary,Commentary,,Direct clinical,,,,2026-07-27,1,ai-clinical-studies
c077d397fb69,New AI platform aims to give patients a strong voice in medicines funding,https://news.google.com/rss/articles/CBMiqwFBVV95cUxNV09UeHVRMlh1N0VUaXBRUXBWaUtQclpWR1Q3LWc2VEo2WFE4NnpJMkhIYnc5cnJkY0syNUZCYnFCNk9GQmxxLW9tNE5ydVFCcndld2NiVjdlWWc2NUFmMDJRU3N4RGJJdkZLTDRMT2NSWkM3SHZPQzB2VkZlOFNtamlGazlYQ2diOXQ0VHFSX3VyWmZEUzJLYjhFWDNHZnk1NldJZ2pUQ2RmZkk?oc=5,APAC AI device regulation & reimbursement,Other,industry,Funding round,Market signal,,Direct clinical,,,,2026-07-26,1,
a3f6e11091f7,Korea - Digital Health Laws and Regulations 2026,https://news.google.com/rss/articles/CBMif0FVX3lxTE9tdXkxMEFUcmxveGFzYnJ0RkxEaVViRWdaMURTZ3ZJTUp3SWlpU3Q2eXYxRjUwRmhTZ2U4RmtES2JYbmJmYlNiWHNCRTV2NjdHekdOemFoSmdYNEIweU0zOHg4RlNMaXlFS3JhMm9WRFEtSXZNdmd4MThiM3U0d1E?oc=5,APAC AI device regulation & reimbursement,Other,regulation,Regulatory guidance,Policy signal,,Direct clinical,,Asia-Pacific,South Korea,2026-07-24,2,regulatory-activity
b6b1ca565c25,GlycoQuest: An AI-Adaptive CGM-Integrated Serious Game for Pediatric Type 1 Diabetes,https://clinicaltrials.gov/study/NCT07726680,Digital therapeutic & device trials,Trial registry,clinical,Trial registry,Primary evidence,2,Direct clinical,Digital therapeutic,,,2026-07-24,1,ai-clinical-studies;digital-therapeutics
