id,title,url,source,source_type,stage,evidence_type,evidence_strength,evidence_maturity,healthcare_relevance,ai_modality,region,country,date,score,topics
964d4badd64f,Ionis' top scientist Frank Bennett to retire; Recursion selects its first AI chief,https://endpoints.news/ionis-top-scientist-frank-bennett-to-retire-recursion-selects-its-first-ai-chief/,Endpoints News,Industry press,industry,Executive move,Market signal,,Adjacent AI,,,,2026-07-31,3,
ec4740369a09,AI ambitions outpace healthcare's infrastructure,https://news.google.com/rss/articles/CBMijgFBVV95cUxNRV9ualBPak03dE41UDRrOTlXV2t6OXR5N200ZlRMZlhVY2NFYWFiV1Y0WU5KMS1uVTNEYWJxUG4zdW0zZVJRcEdzU2E4NW92ZS1NbVJRVld2dU0wTW8xQ0dsX1hXR09LSm9jWk9Wb0MxNEtYeHpDLVBmOVN3LWdxZUJiS1UwaVA3UER4eVJn?oc=5,Healthcare IT News,Other,industry,Industry news,Market signal,,Adjacent AI,,,,2026-07-31,3,
4148c869ee86,Relation promises 'transformationally different success rates' in expanded AI pact with GSK,https://endpoints.news/relation-promises-transformationally-different-success-rates-in-expanded-gsk-pact/,Endpoints News,Industry press,industry,Partnership,Market signal,,Biomedical research,Drug discovery AI,,,2026-07-30,2,
bd58a525fa4c,ScaFE: Data-Efficient Scar Classification with LLM-Generated Clinical Feature Programs,https://arxiv.org/abs/2607.28538v1,arXiv,Preprint / research,research,Preprint,Primary evidence,0,Direct clinical,Imaging AI,,,2026-07-30,2,ai-research
6059c4ea9e78,KAISEN: Reproducible Subgroup Fairness Auditing for Clinical Risk Models,https://arxiv.org/abs/2607.28608v1,arXiv,Preprint / research,research,Preprint,Primary evidence,0,Direct clinical,Clinical decision support,,,2026-07-30,2,ai-research
3e97d9b5a389,Improving Mental Health Screening and Early Risk Detection in Spanish,https://arxiv.org/abs/2607.28476v1,arXiv,Preprint / research,research,Preprint,Primary evidence,0,Direct clinical,Clinical decision support,,,2026-07-30,2,ai-research;mental-health-ai
882604cf287b,A report-grounded vision-language foundation model for colonoscopy from 280000 routine reports,https://arxiv.org/abs/2607.28466v1,arXiv,Preprint / research,research,Preprint,Primary evidence,0,Direct clinical,Imaging AI,,,2026-07-30,2,ai-research
b5350dc7268b,Regulatory-ready AI-based decision-support tool helps clinicians identify dementia risk early,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQVnVWc2ltSW80Yi1OaU94RE4yRUhVaDhRT3UtQXlRQXF4b3pmXzdScENYb1JSQS15VUN0LUtaT254T2tUNmR0RHc4Qkh0bzhiODdsbTVxM1c0RlFkaWVRaTh0RU5zdGFKeHZJQUViaTB1dGUwajBILVFvemNXNnBxUHZUbEFRczRFaHpjdlQ2M3Q5UUY3RkRmTDQwaU9faDdRa2FQNFlrNFdkRjlIdWttMGdYM3FCdWdGdy0tdVZsaWZ4ak91UlhQNk1fTkQ2ZWhaTHc?oc=5,AI in HTA & market access,Other,clinical,Journal study,Primary evidence,1,Direct clinical,Clinical decision support,,,2026-07-30,2,ai-clinical-studies
40e670c58610,"UN-backed AI report highlights healthcare benefits, warns of risks",https://news.google.com/rss/articles/CBMinwFBVV95cUxOQ0JidU9SNXBtYUtSN3JLemxuX3htMS11cEhBbEFsRFd4Qk9QckhpdVlZV0tBSlFjcGlzcGppQ1VzRlZrYm13bTVIWDQ2Z0RhaU5MdGhONzhSTHgxY0MyczNFZlMwRHhoM3BMZ0RacGlteGRiaWlFdUVoZGdkbmZGV2lZU3JLQmVUR0tlSmNlTVBpa25GdC1JMWxYU3F2Nk0?oc=5,MobiHealthNews,Industry press,industry,Industry news,Market signal,,Adjacent AI,,,,2026-07-30,2,
a2249f8e0daa,NUHS to save 850 staff hours weekly from new pharma AI,https://news.google.com/rss/articles/CBMikwFBVV95cUxPYWZTUm9iYUlQWDBwWXFVbE5CZW9LNW5aQ3BtU1JocWhuTHBBTFB5VUdLVEdSbXI4b3JxVFB1SE53NnV0MlpJb0FJTWV3YnlYejZUVXBLNk1IQVJaOU5xX2Nja1BIMW1iQU1nNHo4dUtyUThTTHlsQU16RTNHVnRabTFmNnZFbjR1cnVLQTRka053dVE?oc=5,Healthcare IT News,Other,industry,Industry news,Market signal,,Healthcare operations,,,,2026-07-30,2,
1fc373eef8b9,How one kidney care company built a solid AI foundation,https://news.google.com/rss/articles/CBMilgFBVV95cUxNWnAxTXYxMjdRdTM0RGt6bC1zbG9Cc2tTc1NGajRQekdYM3ZVWUhpeHNtdzhyQ3RYWGVIS1RrUjEzYXQ4bGtsd0FMNHFKaFA1MmNjZURocVJLNURLTkFuNkM0ZTF0RGNpR1dndTlfTVNEaENYNlkzdVVhdEM5ZE9PMldaNThRanF3aWxLX0dFVy1lbHczUEE?oc=5,Healthcare IT News,Other,industry,Industry news,Market signal,,Direct clinical,,,,2026-07-30,2,
873735c19580,"STAT+: Why benchmarking clinical LLMs from OpenEvidence, Doximity is complicated",https://www.statnews.com/2026/07/29/benchmarking-clinical-chatbots-openevidence-doximity-ai-prognosis/?utm_campaign=rss,STAT — Health Tech,Industry press,industry,Industry news,Market signal,,Direct clinical,Generative AI / LLM,,,2026-07-29,2,
a6758f9fc273,STAT+: Clinical chatbots are taking medicine by storm. Should doctors trust them?,https://www.statnews.com/2026/07/29/clinical-ai-vs-generalist-llm-benchmark-study-trust-accuracy-safety/?utm_campaign=rss,STAT — Health Tech,Industry press,industry,Industry news,Market signal,,Direct clinical,Generative AI / LLM,,,2026-07-29,2,
22b5c520b3a6,The FDA was all in on AI. Will that change?,https://www.medtechdive.com/news/AI-guidance-in-question-FDA/826420/,MedTech Dive,Industry press,industry,Industry news,Market signal,,Adjacent AI,,,,2026-07-29,2,
3ad24cc7ee73,"AI will likely grow the HTA 'industrial complex', but it can also democratise the institution",https://news.google.com/rss/articles/CBMivwFBVV95cUxPYVIydmVldGVhaWs5LUV1SFpBOU8wYVVYOFhidzRNTVM5RVdNc0NlazNHN2s5M0JyQW84UzdrUzFJb0FOekQ3ZGEyUTlOa0MtdWxyOWRyMXpLNnVFSmtvRmNLeFZGRlh6cXpTRjRiTzlLLXdhZzJrckpaSm9lM2FrVHFOdWVYUDNNOHhhOVlSMUlvbXRHVHFDaFRMalB3OXAzUUV0NzNwRkFTVlJidmVmWGhCNDVCNDVtUkdHaWxXOA?oc=5,AI in HTA & market access,Other,heor,HEOR / value,Secondary evidence,2,Direct clinical,,,,2026-07-29,4,hta-value-evidence
eba58ded1185,Research explores genomic AI's personalized care potential,https://news.google.com/rss/articles/CBMimgFBVV95cUxQaXZlR0ZQeTlsRWt0MlJNT2Y4RDJCcENFaUFzM05FNkRsYl90SWRnNXlpZ2VRN094ZDF5aXc3VlZES01LbXZqUEpjVFVuQlB0N2RYcUxHS0tLODV2bkpOTm1hMjVrN0t4WDZ0VEdXTjZPblFCakVpeVRtZXlpc1I3U0JTb204TDVrVnZUQ3d0bnhQYlFaZHhpUHFn?oc=5,MobiHealthNews,Industry press,industry,Industry news,Market signal,,Biomedical research,,,,2026-07-29,2,
5478323783cb,BCG: Health systems missing AI's biggest patient access opportunity,https://news.google.com/rss/articles/CBMiowFBVV95cUxNNWhpeXVBT2lKU3NQVS1KaHhUMVhYRlBQUGM1czVoZGtUUmc2TW9FNUlBQkhjLXA3dUxidXlUZzQ4bjlacnRCa3REd3FTWW41MjFKTFFSR0t4ZkFmZFhuaHJqNE1hSFVCNVN2aFd4LTRUYkl4R3YzVU1DZFRGRXZWRWVBeldEMlJCaDVDZzB6UFdDZmZyX1hmeEF0QVBXYm43Nk1N?oc=5,MobiHealthNews,Industry press,industry,Industry news,Market signal,,Direct clinical,,,,2026-07-29,2,
c9f5ca5986e8,Vendor Notebook: New AI releases span a spectrum of healthcare touchpoints,https://news.google.com/rss/articles/CBMiqgFBVV95cUxPcUNYb3FGRVE1dTlBWlhncHNQU0JnNXJ2cy1ROTNpVkRhNS04NjJDU3BiaDlTb0JOcnNDZVAxLXg2a1gxb19DNUU1anoyT0FHZTBPRnQ5VGJiSjh2UkpUWU1RcWhUU3ZESzk1MHNZRFBqa0F3UzVSZGoyYmYtVzJpMzVtcF9JZUIxX05rRFR6VzVra29mN1ZFYmNYdHg3N1dNMllmRjFmNjc4UQ?oc=5,Healthcare IT News,Other,industry,Product launch,Market signal,,Adjacent AI,,,,2026-07-29,2,
607c89e6b975,New research framework aims to assess and track clinical AI models,https://news.google.com/rss/articles/CBMiowFBVV95cUxOeFRmTHQ5N25DUko3eDJfMUIxd1N3VGhfcGZqb1ZHb254cXpid1d5SXFZVFVzaTFabDF1dlB4RVIwejk3cnBIY3oxRTZKMlhPaTZ2cGdSNUlHM2NSVmVZUmdxVkl1UGJ3cEV2RnN4RnJNTnVCcmFuV19sMWh5M0ZVVkdQX3ZNSUNPWlNwNWtZd054c3RUb1M0em9HOEZlOEhMNmd3?oc=5,Healthcare IT News,Other,industry,Industry news,Market signal,,Direct clinical,,,,2026-07-29,2,
dc48f546e444,New insights into disease could be unlocked with genomic foundation models,https://news.google.com/rss/articles/CBMipgFBVV95cUxNN1FZWnlOV1V4Mjc2RHlUM1dHdldJcnBjNFhOU0pmSUJoSTc2TzNfZ1BoMTZxcGpHLTBtN0E5S01KZVhSdHFtdU5VMXdRdGpud0trZDZMdy1sX3JwU09TbkFNMmNqbFdxVTE4SXA2blNFZ1dKTERUNVA2X0RESmhWbFlocV9BeG9SX0l0Ql9jN1dHM21MaXdTcXplaFIwTF83YzBBUkNn?oc=5,Healthcare IT News,Other,industry,Industry news,Market signal,,Biomedical research,Generative AI / LLM,,,2026-07-29,2,
df22037e3e0f,Scientific computing in the age of agentic AI,https://openai.com/index/scientific-computing-agentic-ai,OpenAI News,Other,industry,Commentary,Commentary,,Healthcare operations,,,,2026-07-28,2,
03578ab414a5,Collaboration can advance AI-powered behavioral health,https://news.google.com/rss/articles/CBMinAFBVV95cUxPaU5xbFE3V1lMcFR2bnZsWnpsd0RuUmFTd1FoRkc1VkI2aTB4X3AzdUNkZlMwVTBDU1NqUDBXNjhUb0xBQkRfaDlHcHhULVNKUVlHbGNJSmpkUmpiVG5CeUJIWnN5UGQ5dkh3U1kxbVBVcFJvVzVseTAwVjZFZHhEYlhKYkdhZm5mNHJuR1hmc1dQTjFrbm5POTBxVjk?oc=5,MobiHealthNews,Industry press,industry,Partnership,Market signal,,Direct clinical,,,,2026-07-27,2,
99d0065b8941,AI finds opportunities to control care costs,https://news.google.com/rss/articles/CBMihAFBVV95cUxPSkRlSWJxcHNyM2JzMHpBSktZQ3lUWlU3ZmJxakJQdmN4emZBeGxBM3pwVEgtd05FSmJEb3BUcWIzaDFKQUxsUmxUeHYwWnA4T0ExWTI5Y2tUWEQtQ3FpaXlrUkVDczlpaE8zV0Rwa1BDaGNDdjVzbkJsSENCWHhIQVBlTVE?oc=5,MobiHealthNews,Industry press,industry,Industry news,Market signal,,Healthcare operations,,,,2026-07-27,2,
ee813caf37a6,"ChatGPT Health 🩺, Fugu-Ultra 1.1 🐡, Runway Media Router 🎬",https://tldr.tech/ai/2026-07-24,TLDR AI,Other,industry,Industry news,Market signal,,Adjacent AI,,,,2026-07-24,1,
b1b3e2ad94d5,"Q&A: NVIDIA on the future of healthcare AI, Part 2",https://news.google.com/rss/articles/CBMifkFVX3lxTFBKampzTlR2ZElCSURsQ2VBcWl4UTlCNFdQbmd0R3A4WjBOaGR6ZHp6SnRraV85XzNyVHM4REpSYXkzU0ctdGVuelFjaUYxVE81eURqX3MwNC1PeUdkUThKQjJjbFljUGNUckdZdnozdVpPR3p4ZGhYaVA5OHR5UQ?oc=5,MobiHealthNews,Industry press,industry,Industry analysis,Market signal,,Adjacent AI,,,,2026-07-24,1,
d8f73931d002,STAT+: HHS to convene experts on standards for clinical AI,https://www.statnews.com/2026/07/23/hhs-convenes-experts-on-clinical-ai-health-tech/?utm_campaign=rss,STAT — Health Tech,Industry press,industry,Industry news,Market signal,,Direct clinical,,,,2026-07-23,1,
61ff65705c9e,Weekly Rundown: Counsel Health rolls out white label AI care platform; Community Health Network launches MyChart AI assistant,https://www.fiercehealthcare.com/health-tech/weekly-rundown-counsel-health-rolls-out-counsel-studio-community-health-network,Fierce Healthcare,Industry press,industry,Product launch,Market signal,,Adjacent AI,,,,,1,
9d1df0ae846d,"Alignment Healthcare boasts 32% revenue jump in Q2, lifts 2026 outlook",https://www.fiercehealthcare.com/payers/alignment-boasts-316-revenue-increase-q2-boosts-2026-outlook,Fierce Healthcare,Industry press,industry,Industry analysis,Market signal,,Direct clinical,,,,,1,
8ad76c486d55,"WellSpan Health, Hippocratic AI ink ‘multi-year’ partnership with plans to co-develop clinical AI agents",https://www.fiercehealthcare.com/ai-and-machine-learning/wellspan-health-hippocratic-ai-enter-expanded-multi-year-partnership-launch,Fierce Healthcare,Industry press,industry,Partnership,Market signal,,Direct clinical,Generative AI / LLM,,,,1,
5cdea0136433,Waystar boosts 2026 outlook as AI-powered RCM solutions gain traction with providers,https://www.fiercehealthcare.com/finance/waystar-boosts-2026-outlook-after-solid-q2-performance,Fierce Healthcare,Industry press,industry,Industry analysis,Market signal,,Healthcare operations,,,,,1,
bdf9ad4653d5,Stellarus launches AI-powered health plan customer service representative copilot,https://www.fiercehealthcare.com/ai-and-machine-learning/stellarus-launches-ai-powered-health-plan-customer-service-representative,Fierce Healthcare,Industry press,industry,Product launch,Market signal,,Healthcare operations,,,,,1,
2ce444871094,Development and Usability Testing of an Information Needs-Based Chatbot for Individuals With Pathogenic Variants in BRCA Genes in Korea: A Methodological Study.,https://pubmed.ncbi.nlm.nih.gov/42533411/,PubMed — digital health value & reimbursement,Journal / evidence,clinical,Journal study,Primary evidence,1,Direct clinical,Generative AI / LLM,Asia-Pacific,South Korea,2026-08-01,2,ai-clinical-studies
